[1013/123817:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/130908:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/133021:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/133131:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/141921:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/142106:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/143037:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/144740:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/145954:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/150144:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/151551:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/151859:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/152103:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/153810:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/154610:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/164309:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/164348:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/164504:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/164556:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/170202:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/170956:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/171104:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/171203:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/171338:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/173657:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/174113:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/174810:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/175044:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/175218:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/175309:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/175544:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/175811:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/180039:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/180214:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/180252:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/180327:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/180444:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/180628:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/180652:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/180904:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/181126:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/181140:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/181538:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/181821:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/182059:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/182146:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/182602:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/184049:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/100434:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/100818:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/101012:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/101151:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/101201:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/101539:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/101947:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/110119:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/114005:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/120507:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/120608:ERROR:file_io.cc(30)] read: expected 4, observed 0
